date,Cases
24/09/2020,437585
23/09/2020,429903
22/09/2020,422807
21/09/2020,416366
20/09/2020,410739
19/09/2020,405399
18/09/2020,400510
17/09/2020,395537
16/09/2020,390862
15/09/2020,386463
14/09/2020,382912
13/09/2020,379484
12/09/2020,377330
11/09/2020,374660
10/09/2020,371336
09/09/2020,367708
08/09/2020,364343
07/09/2020,360973
06/09/2020,357042
05/09/2020,354577
04/09/2020,352026
03/09/2020,348934
02/09/2020,345782
01/09/2020,342705
31/08/2020,340417
30/08/2020,338904
29/08/2020,337733
28/08/2020,336503
27/08/2020,334871
26/08/2020,333280
25/08/2020,331892
24/08/2020,330622
23/08/2020,329321
22/08/2020,328490
21/08/2020,327648
20/08/2020,326430
19/08/2020,324932
18/08/2020,323650
17/08/2020,322534
16/08/2020,321236
15/08/2020,320634
14/08/2020,319920
13/08/2020,318735
12/08/2020,317579
11/08/2020,316337
10/08/2020,314959
09/08/2020,313460
08/08/2020,312833
07/08/2020,312123
06/08/2020,311150
05/08/2020,310045
04/08/2020,308953
03/08/2020,307887
02/08/2020,306827
01/08/2020,306263
31/07/2020,305704
30/07/2020,305006
29/07/2020,304060
28/07/2020,302998
27/07/2020,302142
26/07/2020,301273
25/07/2020,300710
24/07/2020,300180
23/07/2020,299406
22/07/2020,298598
21/07/2020,297782
20/07/2020,296994
19/07/2020,296164
18/07/2020,295716
17/07/2020,295211
16/07/2020,294629
15/07/2020,293917
14/07/2020,293140
13/07/2020,292435
12/07/2020,291695
11/07/2020,291329
10/07/2020,290870
09/07/2020,290302
08/07/2020,289580
07/07/2020,288867
06/07/2020,288258
05/07/2020,287544
04/07/2020,286986
03/07/2020,286587
02/07/2020,286019
01/07/2020,285413
30/06/2020,284761
29/06/2020,284138
28/06/2020,283414
27/06/2020,282965
26/06/2020,282312
25/06/2020,281646
24/06/2020,280920
23/06/2020,280143
22/06/2020,279260
21/06/2020,278361
20/06/2020,277725
19/06/2020,277042
18/06/2020,276049
17/06/2020,275027
16/06/2020,274010
15/06/2020,272907
14/06/2020,271862
13/06/2020,271036
12/06/2020,270150
11/06/2020,269097
10/06/2020,268084
09/06/2020,266888
08/06/2020,265723
07/06/2020,264624
06/06/2020,263902
05/06/2020,263098
04/06/2020,261975
03/06/2020,260726
02/06/2020,259357
01/06/2020,257865
31/05/2020,256426
30/05/2020,255346
29/05/2020,254214
28/05/2020,252683
27/05/2020,250926
26/05/2020,249101
25/05/2020,247031
24/05/2020,245406
23/05/2020,244033
22/05/2020,242501
21/05/2020,240444
20/05/2020,237877
19/05/2020,235158
18/05/2020,232095
17/05/2020,229514
16/05/2020,227677
15/05/2020,225595
14/05/2020,223065
13/05/2020,220435
12/05/2020,217105
11/05/2020,213695
10/05/2020,210083
09/05/2020,207746
08/05/2020,205576
07/05/2020,202512
06/05/2020,198725
05/05/2020,194893
04/05/2020,191207
03/05/2020,187809
02/05/2020,184807
01/05/2020,181549
30/04/2020,176783
29/04/2020,171822
28/04/2020,166389
27/04/2020,161670
26/04/2020,156931
25/04/2020,153455
24/04/2020,149698
23/04/2020,144737
22/04/2020,139570
21/04/2020,134053
20/04/2020,129258
19/04/2020,124817
18/04/2020,120936
17/04/2020,116192
16/04/2020,111215
15/04/2020,105923
14/04/2020,100853
13/04/2020,96518
12/04/2020,92315
11/04/2020,88808
10/04/2020,85223
09/04/2020,80896
08/04/2020,76021
07/04/2020,70875
06/04/2020,65398
05/04/2020,60125
04/04/2020,56569
03/04/2020,52593
02/04/2020,47740
01/04/2020,42916
31/03/2020,38025
30/03/2020,33562
29/03/2020,29367
28/03/2020,26549
27/03/2020,23775
26/03/2020,20621
25/03/2020,17582
24/03/2020,14916
23/03/2020,12563
22/03/2020,10274
21/03/2020,8913
20/03/2020,7730
19/03/2020,6477
18/03/2020,5437
17/03/2020,4457
16/03/2020,3674
15/03/2020,3072
14/03/2020,2631
13/03/2020,2279
12/03/2020,1801
11/03/2020,1317
10/03/2020,914
09/03/2020,649
08/03/2020,501
07/03/2020,446
06/03/2020,378
05/03/2020,295
04/03/2020,246
03/03/2020,190
02/03/2020,133
01/03/2020,92
29/02/2020,72
28/02/2020,68
27/02/2020,56
26/02/2020,48
25/02/2020,46
24/02/2020,43
23/02/2020,41
22/02/2020,35
21/02/2020,35
20/02/2020,33
19/02/2020,33
18/02/2020,33
17/02/2020,33
16/02/2020,32
15/02/2020,32
14/02/2020,32
13/02/2020,32
12/02/2020,31
11/02/2020,30
10/02/2020,26
09/02/2020,25
08/02/2020,24
07/02/2020,21
06/02/2020,21
05/02/2020,21
04/02/2020,20
03/02/2020,20
02/02/2020,2
01/02/2020,1
31/01/2020,1
30/01/2020,1
