Date,Measure,Value,Category
01/04/2019, Volume , 100 ,Supermarkets
01/05/2019, Volume , 100 ,Supermarkets
01/06/2019, Volume , 100 ,Supermarkets
01/07/2019, Volume , 100 ,Supermarkets
01/08/2019, Volume , 100 ,Supermarkets
01/09/2019, Volume , 100 ,Supermarkets
01/10/2019, Volume , 100 ,Supermarkets
01/11/2019, Volume , 100 ,Supermarkets
01/12/2019, Volume , 98 ,Supermarkets
01/01/2020, Volume , 101 ,Supermarkets
01/02/2020, Volume , 100 ,Supermarkets
01/03/2020, Volume , 110 ,Supermarkets
01/04/2020, Volume , 108 ,Supermarkets
01/05/2020, Volume , 109 ,Supermarkets
01/06/2020, Volume , 109 ,Supermarkets
01/07/2020, Volume , 104 ,Supermarkets
01/08/2020, Volume , 105 ,Supermarkets
01/09/2020, Volume , 105 ,Supermarkets
01/10/2020, Volume , 104 ,Supermarkets
01/11/2020, Volume , 107 ,Supermarkets
01/12/2020, Volume , 103 ,Supermarkets
01/01/2021, Volume , 107 ,Supermarkets
01/02/2021, Volume , 108 ,Supermarkets
01/03/2021, Volume , 110 ,Supermarkets
01/04/2021, Volume , 108 ,Supermarkets
01/05/2021, Volume , 103 ,Supermarkets
01/06/2021, Volume , 107 ,Supermarkets
01/07/2021, Volume , 104 ,Supermarkets
01/08/2021, Volume , 103 ,Supermarkets
01/09/2021, Volume , 102 ,Supermarkets
01/10/2021, Volume , 102 ,Supermarkets
01/11/2021, Volume , 102 ,Supermarkets
01/12/2021, Volume , 102 ,Supermarkets
01/01/2022, Volume , 99 ,Supermarkets
01/02/2022, Volume , 99 ,Supermarkets
01/03/2022, Volume , 99 ,Supermarkets
01/04/2022, Volume , 99 ,Supermarkets
01/05/2022, Volume , 97 ,Supermarkets
01/01/2015, Proportion , 2 ,Specialist food stores
01/02/2015, Proportion , 1 ,Specialist food stores
01/03/2015, Proportion , 1 ,Specialist food stores
01/04/2015, Proportion , 1 ,Specialist food stores
01/05/2015, Proportion , 1 ,Specialist food stores
01/06/2015, Proportion , 2 ,Specialist food stores
01/07/2015, Proportion , 2 ,Specialist food stores
01/08/2015, Proportion , 2 ,Specialist food stores
01/09/2015, Proportion , 2 ,Specialist food stores
01/10/2015, Proportion , 1 ,Specialist food stores
01/11/2015, Proportion , 1 ,Specialist food stores
01/12/2015, Proportion , 1 ,Specialist food stores
01/01/2016, Proportion , 1 ,Specialist food stores
01/02/2016, Proportion , 1 ,Specialist food stores
01/03/2016, Proportion , 1 ,Specialist food stores
01/04/2016, Proportion , 1 ,Specialist food stores
01/05/2016, Proportion , 1 ,Specialist food stores
01/06/2016, Proportion , 1 ,Specialist food stores
01/07/2016, Proportion , 1 ,Specialist food stores
01/08/2016, Proportion , 1 ,Specialist food stores
01/09/2016, Proportion , 1 ,Specialist food stores
01/10/2016, Proportion , 1 ,Specialist food stores
01/11/2016, Proportion , 1 ,Specialist food stores
01/12/2016, Proportion , 1 ,Specialist food stores
01/01/2017, Proportion , 1 ,Specialist food stores
01/02/2017, Proportion , 1 ,Specialist food stores
01/03/2017, Proportion , 2 ,Specialist food stores
01/04/2017, Proportion , 1 ,Specialist food stores
01/05/2017, Proportion , 1 ,Specialist food stores
01/06/2017, Proportion , 1 ,Specialist food stores
01/07/2017, Proportion , 1 ,Specialist food stores
01/08/2017, Proportion , 2 ,Specialist food stores
01/09/2017, Proportion , 2 ,Specialist food stores
01/10/2017, Proportion , 2 ,Specialist food stores
01/11/2017, Proportion , 2 ,Specialist food stores
01/12/2017, Proportion , 2 ,Specialist food stores
01/01/2018, Proportion , 2 ,Specialist food stores
01/02/2018, Proportion , 2 ,Specialist food stores
01/03/2018, Proportion , 2 ,Specialist food stores
01/04/2018, Proportion , 2 ,Specialist food stores
01/05/2018, Proportion , 2 ,Specialist food stores
01/06/2018, Proportion , 2 ,Specialist food stores
01/07/2018, Proportion , 2 ,Specialist food stores
01/08/2018, Proportion , 2 ,Specialist food stores
01/09/2018, Proportion , 2 ,Specialist food stores
01/10/2018, Proportion , 3 ,Specialist food stores
01/11/2018, Proportion , 2 ,Specialist food stores
01/12/2018, Proportion , 2 ,Specialist food stores
01/01/2019, Proportion , 2 ,Specialist food stores
01/02/2019, Proportion , 2 ,Specialist food stores
01/03/2019, Proportion , 1 ,Specialist food stores
01/04/2019, Proportion , 1 ,Specialist food stores
01/05/2019, Proportion , 2 ,Specialist food stores
01/06/2019, Proportion , 2 ,Specialist food stores
01/07/2019, Proportion , 3 ,Specialist food stores
01/08/2019, Proportion , 3 ,Specialist food stores
01/09/2019, Proportion , 3 ,Specialist food stores
01/10/2019, Proportion , 3 ,Specialist food stores
01/11/2019, Proportion , 3 ,Specialist food stores
01/12/2019, Proportion , 2 ,Specialist food stores
01/01/2020, Proportion , 3 ,Specialist food stores
01/02/2020, Proportion , 2 ,Specialist food stores
01/03/2020, Proportion , 3 ,Specialist food stores
01/04/2020, Proportion , 14 ,Specialist food stores
01/05/2020, Proportion , 14 ,Specialist food stores
01/06/2020, Proportion , 9 ,Specialist food stores
01/07/2020, Proportion , 5 ,Specialist food stores
01/08/2020, Proportion , 5 ,Specialist food stores
01/09/2020, Proportion , 5 ,Specialist food stores
01/10/2020, Proportion , 5 ,Specialist food stores
01/11/2020, Proportion , 6 ,Specialist food stores
01/12/2020, Proportion , 7 ,Specialist food stores
01/01/2021, Proportion , 10 ,Specialist food stores
01/02/2021, Proportion , 11 ,Specialist food stores
01/03/2021, Proportion , 9 ,Specialist food stores
01/04/2021, Proportion , 8 ,Specialist food stores
01/05/2021, Proportion , 9 ,Specialist food stores
01/06/2021, Proportion , 8 ,Specialist food stores
01/07/2021, Proportion , 8 ,Specialist food stores
01/08/2021, Proportion , 8 ,Specialist food stores
01/09/2021, Proportion , 8 ,Specialist food stores
01/10/2021, Proportion , 8 ,Specialist food stores
01/11/2021, Proportion , 7 ,Specialist food stores
01/12/2021, Proportion , 6 ,Specialist food stores
01/01/2022, Proportion , 6 ,Specialist food stores
01/02/2022, Proportion , 7 ,Specialist food stores
01/03/2022, Proportion , 6 ,Specialist food stores
01/04/2022, Proportion , 6 ,Specialist food stores
01/05/2022, Proportion , 6 ,Specialist food stores
01/01/2015, Volume , 87 ,Specialist food stores
01/02/2015, Volume , 88 ,Specialist food stores
01/03/2015, Volume , 88 ,Specialist food stores
01/04/2015, Volume , 90 ,Specialist food stores
01/05/2015, Volume , 91 ,Specialist food stores
01/06/2015, Volume , 91 ,Specialist food stores
01/07/2015, Volume , 90 ,Specialist food stores
01/08/2015, Volume , 87 ,Specialist food stores
01/09/2015, Volume , 89 ,Specialist food stores
01/10/2015, Volume , 88 ,Specialist food stores
01/11/2015, Volume , 96 ,Specialist food stores
01/12/2015, Volume , 96 ,Specialist food stores
01/01/2016, Volume , 91 ,Specialist food stores
01/02/2016, Volume , 95 ,Specialist food stores
01/03/2016, Volume , 97 ,Specialist food stores
01/04/2016, Volume , 92 ,Specialist food stores
01/05/2016, Volume , 91 ,Specialist food stores
01/06/2016, Volume , 94 ,Specialist food stores
01/07/2016, Volume , 94 ,Specialist food stores
01/08/2016, Volume , 94 ,Specialist food stores
01/09/2016, Volume , 97 ,Specialist food stores
01/10/2016, Volume , 95 ,Specialist food stores
01/11/2016, Volume , 106 ,Specialist food stores
01/12/2016, Volume , 91 ,Specialist food stores
01/01/2017, Volume , 90 ,Specialist food stores
01/02/2017, Volume , 91 ,Specialist food stores
01/03/2017, Volume , 86 ,Specialist food stores
01/04/2017, Volume , 88 ,Specialist food stores
01/05/2017, Volume , 88 ,Specialist food stores
01/06/2017, Volume , 77 ,Specialist food stores
01/07/2017, Volume , 85 ,Specialist food stores
01/08/2017, Volume , 88 ,Specialist food stores
01/09/2017, Volume , 85 ,Specialist food stores
01/10/2017, Volume , 83 ,Specialist food stores
01/11/2017, Volume , 86 ,Specialist food stores
01/12/2017, Volume , 87 ,Specialist food stores
01/01/2018, Volume , 87 ,Specialist food stores
01/02/2018, Volume , 86 ,Specialist food stores
01/03/2018, Volume , 91 ,Specialist food stores
01/04/2018, Volume , 94 ,Specialist food stores
01/05/2018, Volume , 96 ,Specialist food stores
01/06/2018, Volume , 90 ,Specialist food stores
01/07/2018, Volume , 103 ,Specialist food stores
01/08/2018, Volume , 99 ,Specialist food stores
01/09/2018, Volume , 96 ,Specialist food stores
01/10/2018, Volume , 96 ,Specialist food stores
01/11/2018, Volume , 96 ,Specialist food stores
01/12/2018, Volume , 93 ,Specialist food stores
01/01/2019, Volume , 96 ,Specialist food stores
01/02/2019, Volume , 95 ,Specialist food stores
01/03/2019, Volume , 100 ,Specialist food stores
01/04/2019, Volume , 99 ,Specialist food stores
01/05/2019, Volume , 99 ,Specialist food stores
01/06/2019, Volume , 102 ,Specialist food stores
01/07/2019, Volume , 102 ,Specialist food stores
01/08/2019, Volume , 100 ,Specialist food stores
01/09/2019, Volume , 101 ,Specialist food stores
01/10/2019, Volume , 100 ,Specialist food stores
01/11/2019, Volume , 100 ,Specialist food stores
01/12/2019, Volume , 105 ,Specialist food stores
01/01/2020, Volume , 88 ,Specialist food stores
01/02/2020, Volume , 101 ,Specialist food stores
01/03/2020, Volume , 99 ,Specialist food stores
01/04/2020, Volume , 66 ,Specialist food stores
